,RHS HF,Hot finished Rectangular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,UK Edition,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,,Designation,,Mass Per,Area,Ratios for,,Second Moment,,Radius of Gyration,,Elastic Modulus,,Plastic Modulus,,Torsional,,Surface,Approx
1,,Size,Thickness,metre,of,Local Buckling,,of Area,,Gyration,,Modulus,,Modulus,,Constants,,Area,Length
2,,,,,Section,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,of,per
3,,D x B,t, ,A,b/t,d/t,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2/m,m
5,1,50x30,2.5,2.89,3.68,9,17,11.8,5.22,1.79,1.19,4.73,3.48,5.92,4.11,11.7,5.73,0.154,346
6,2,50x30,3,3.41,4.34,7,13.7,13.6,5.94,1.77,1.17,5.43,3.96,6.88,4.76,13.5,6.51,0.152,293
7,3,50x30,3.2,3.61,4.6,6.37,12.6,14.2,6.2,1.76,1.16,5.68,4.13,7.25,5,14.2,6.8,0.152,277
8,4,50x30,3.6,4.01,5.1,5.33,10.9,15.4,6.67,1.74,1.14,6.16,4.45,7.94,5.46,15.4,7.31,0.151,250
9,5,50x30,4,4.39,5.59,4.5,9.5,16.5,7.08,1.72,1.13,6.6,4.72,8.59,5.88,16.6,7.77,0.15,228
10,6,50x30,5,5.28,6.73,3,7,18.7,7.89,1.67,1.08,7.49,5.26,10,6.8,19,8.67,0.147,189
11,7,60x40,2.5,3.68,4.68,13,21,22.8,12.1,2.21,1.6,7.61,6.03,9.32,7.02,25.1,9.73,0.194,272
12,8,60x40,3,4.35,5.54,10.3,17,26.5,13.9,2.18,1.58,8.82,6.95,10.9,8.19,29.2,11.2,0.192,230
13,9,60x40,3.2,4.62,5.88,9.5,15.7,27.8,14.6,2.18,1.57,9.27,7.29,11.5,8.64,30.8,11.7,0.192,217
14,10,60x40,3.6,5.14,6.54,8.11,13.7,30.4,15.9,2.16,1.56,10.1,7.93,12.7,9.5,33.8,12.8,0.191,195
15,11,60x40,4,5.64,7.19,7,12,32.8,17,2.14,1.54,10.9,8.52,13.8,10.3,36.7,13.7,0.19,177
16,12,60x40,5,6.85,8.73,5,9,38.1,19.5,2.09,1.5,12.7,9.77,16.4,12.2,43,15.7,0.187,146
17,13,60x40,6,7.99,10.2,3.67,7,42.3,21.4,2.04,1.45,14.1,10.7,18.6,13.7,48.2,17.3,0.185,125
18,14,60x40,6.3,8.31,10.6,3.35,6.52,43.4,21.9,2.02,1.44,14.5,11,19.2,14.2,49.5,17.6,0.184,120
19,15,80x40,3,5.29,6.74,10.3,23.7,54.2,18,2.84,1.63,13.6,9,17.1,10.4,43.8,15.3,0.232,189
20,16,80x40,3.2,5.62,7.16,9.5,22,57.2,18.9,2.83,1.63,14.3,9.46,18,11,46.2,16.1,0.232,178
21,17,80x40,3.6,6.27,7.98,8.11,19.2,62.8,20.6,2.81,1.61,15.7,10.3,20,12.1,50.8,17.5,0.231,160
22,18,80x40,4,6.9,8.79,7,17,68.2,22.2,2.79,1.59,17.1,11.1,21.8,13.2,55.2,18.9,0.23,145
23,19,80x40,5,8.42,10.7,5,13,80.3,25.7,2.74,1.55,20.1,12.9,26.1,15.7,65.1,21.9,0.227,119
24,20,80x40,6,9.87,12.6,3.67,10.3,90.5,28.5,2.68,1.5,22.6,14.2,30,17.8,73.4,24.2,0.225,101
25,21,80x40,6.3,10.3,13.1,3.35,9.7,93.3,29.2,2.67,1.49,23.3,14.6,31.1,18.4,75.6,24.8,0.224,97.2
26,22,80x40,8,12.5,16,2,7,106,32.1,2.58,1.42,26.5,16.1,36.5,21.2,85.8,27.4,0.219,79.9
27,23,76.2x50.8,3,5.62,7.16,13.9,22.4,56.7,30,2.81,2.05,14.9,11.8,18.2,13.7,62.1,19.1,0.246,178
28,24,76.2x50.8,3.2,5.97,7.61,12.9,20.8,59.8,31.6,2.8,2.04,15.7,12.4,19.2,14.5,65.7,20.1,0.246,167
29,25,76.2x50.8,3.6,6.66,8.49,11.1,18.2,65.8,34.6,2.78,2.02,17.3,13.6,21.3,16,72.5,22,0.245,150
30,26,76.2x50.8,4,7.34,9.35,9.7,16.1,71.5,37.5,2.77,2,18.8,14.8,23.3,17.5,79.1,23.8,0.244,136
31,27,76.2x50.8,5,8.97,11.4,7.16,12.2,84.4,43.9,2.72,1.96,22.2,17.3,28,20.9,94.2,27.8,0.241,111
32,28,76.2x50.8,6,10.5,13.4,5.47,9.7,95.6,49.2,2.67,1.91,25.1,19.4,32.2,23.9,108,31.2,0.239,95
33,29,76.2x50.8,6.3,11,14,5.06,9.1,98.6,50.6,2.66,1.9,25.9,19.9,33.4,24.8,111,32,0.238,91.1
34,30,76.2x50.8,8,13.4,17.1,3.35,6.53,113,57,2.57,1.83,29.6,22.4,39.4,29,129,36.1,0.233,74.6
35,31,90x50,3,6.24,7.94,13.7,27,84.4,33.5,3.26,2.05,18.8,13.4,23.2,15.3,76.5,22.4,0.272,160
36,32,90x50,3.2,6.63,8.44,12.6,25.1,89.1,35.3,3.25,2.04,19.8,14.1,24.6,16.2,80.9,23.6,0.272,151
37,33,90x50,3.6,7.4,9.42,10.9,22,98.3,38.7,3.23,2.03,21.8,15.5,27.2,18,89.4,25.9,0.271,135
38,34,90x50,4,8.15,10.4,9.5,19.5,107,41.9,3.21,2.01,23.8,16.8,29.8,19.6,97.5,28,0.27,123
39,35,90x50,5,9.99,12.7,7,15,127,49.2,3.16,1.97,28.3,19.7,36,23.5,116,32.9,0.267,100
40,36,90x50,6,11.8,15,5.33,12,145,55.4,3.11,1.92,32.2,22.1,41.6,27,133,37,0.265,85.1
41,37,90x50,6.3,12.3,15.6,4.94,11.3,150,57,3.1,1.91,33.3,22.8,43.2,28,138,38.1,0.264,81.5
42,38,90x50,8,15,19.2,3.25,8.25,174,64.6,3.01,1.84,38.6,25.8,51.4,32.9,160,43.2,0.259,66.5
43,39,100x50,3,6.71,8.54,13.7,30.3,110,36.8,3.58,2.08,21.9,14.7,27.3,16.8,88.4,25,0.292,149
44,40,100x50,3.2,7.13,9.08,12.6,28.3,116,38.8,3.57,2.07,23.2,15.5,28.9,17.7,93.4,26.4,0.292,140
45,41,100x50,3.6,7.96,10.1,10.9,24.8,128,42.6,3.55,2.05,25.6,17,32.1,19.6,103,29,0.291,126
46,42,100x50,4,8.78,11.2,9.5,22,140,46.2,3.53,2.03,27.9,18.5,35.2,21.5,113,31.4,0.29,114
47,43,100x50,5,10.8,13.7,7,17,167,54.3,3.48,1.99,33.3,21.7,42.6,25.8,135,36.9,0.287,92.8
