,RHS HF OS,Rectangular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Overseas Edition,Unnamed: 17,Unnamed: 18
0,,Designation,,Mass Per,Area,Ratios for,,Second Moment,,Radius of Gyration,,Elastic Modulus,,Plastic Modulus,,Torsional,,Surface,Approx
1,,Size,Thickness,metre,of,Local Buckling,,of Area,,Gyration,,Modulus,,Modulus,,Constants,,Area,Length
2,,,,,Section,Flange,Web,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,of,per
3,,D x B,t, ,A,b/t,d/t,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,J,C,Section,Tonne
4,Home,mm x mm,mm,kg/m,cm2, , ,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2/m,m
58,54,100x60,8,17.5,22.4,4.5,9.5,264,113,3.44,2.25,52.8,37.8,68.7,47.1,265,62.2,0.299,57
59,55,120x60,3.6,9.66,12.3,13.7,30.3,227,76.3,4.3,2.49,37.9,25.4,47.2,28.9,183,43.3,0.351,104
60,56,120x60,4,10.7,13.6,12,27,249,83.1,4.28,2.47,41.5,27.7,51.9,31.7,201,47.1,0.35,93.7
61,57,120x60,4.9,12.9,16.4,9.24,21.5,294,97.3,4.23,2.43,49.1,32.4,62,37.8,238,55.1,0.347,77.6
62,58,120x60,5,13.1,16.7,9,21,299,98.8,4.23,2.43,49.9,32.9,63.1,38.4,242,56,0.347,76.1
63,59,120x60,5.6,14.6,18.6,7.71,18.4,327,107,4.2,2.4,54.6,35.8,69.5,42.1,265,60.8,0.346,68.6
64,60,120x60,6,15.5,19.8,7,17,345,113,4.18,2.39,57.5,37.5,73.6,44.5,279,63.8,0.345,64.4
65,61,120x60,6.3,16.2,20.7,6.52,16,358,116,4.16,2.37,59.7,38.8,76.7,46.3,290,65.9,0.344,61.6
66,62,120x60,7.1,18.1,23,5.45,13.9,391,126,4.12,2.34,65.2,41.9,84.4,50.8,317,71.3,0.342,55.4
67,63,120x60,8,20.1,25.6,4.5,12,425,135,4.08,2.3,70.8,45,92.7,55.4,344,76.6,0.339,49.9
68,64,120x80,3.6,10.8,13.7,19.2,30.3,276,147,4.48,3.27,46,36.7,55.6,42,301,59.5,0.391,92.7
69,65,120x80,4,11.9,15.2,17,27,303,161,4.46,3.25,50.4,40.2,61.2,46.1,330,65,0.39,83.9
70,66,120x80,4.9,14.4,18.4,13.3,21.5,359,190,4.42,3.21,59.9,47.5,73.3,55.2,394,76.6,0.387,69.3
71,67,120x80,5,14.7,18.7,13,21,365,193,4.42,3.21,60.9,48.2,74.6,56.1,401,77.9,0.387,68
72,68,120x80,5.6,16.3,20.8,11.3,18.4,401,211,4.39,3.18,66.8,52.7,82.3,61.8,442,85,0.386,61.2
73,69,120x80,6,17.4,22.2,10.3,17,423,222,4.37,3.17,70.6,55.6,87.3,65.5,468,89.6,0.385,57.5
74,70,120x80,6.3,18.2,23.2,9.7,16,440,230,4.36,3.15,73.3,57.6,91,68.2,487,92.9,0.384,54.9
75,71,120x80,7.1,20.3,25.8,8.27,13.9,482,251,4.32,3.12,80.3,62.8,100,75.2,535,101,0.382,49.3
76,72,120x80,8,22.6,28.8,7,12,525,273,4.27,3.08,87.5,68.1,111,82.6,587,110,0.379,44.3
77,73,120x80,10,27.4,34.9,5,9,609,313,4.18,2.99,102,78.1,131,97.3,688,126,0.374,36.5
78,74,150x100,4,15.1,19.2,22,34.5,607,324,5.63,4.11,81,64.8,97.4,73.6,660,105,0.49,66.4
79,75,150x100,4.9,18.3,23.3,17.4,27.6,726,386,5.58,4.07,96.8,77.1,117,88.5,792,125,0.487,54.7
80,76,150x100,5,18.6,23.7,17,27,739,392,5.58,4.07,98.5,78.5,119,90.1,807,127,0.487,53.7
81,77,150x100,5.6,20.7,26.4,14.9,23.8,814,431,5.55,4.04,109,86.2,132,99.6,891,139,0.486,48.2
82,78,150x100,6,22.1,28.2,13.7,22,862,456,5.53,4.02,115,91.2,141,106,946,147,0.485,45.2
83,79,150x100,6.3,23.1,29.5,12.9,20.8,898,474,5.52,4.01,120,94.8,147,110,986,153,0.484,43.2
84,80,150x100,7.1,25.9,32.9,11.1,18.1,990,520,5.48,3.97,132,104,163,122,1091,168,0.482,38.7
85,81,150x100,8,28.9,36.8,9.5,15.8,1087,569,5.44,3.94,145,114,180,135,1203,183,0.479,34.7
86,82,150x100,8.8,31.5,40.1,8.36,14,1168,610,5.4,3.9,156,122,195,146,1298,196,0.477,31.8
87,83,150x100,10,35.3,44.9,7,12,1282,665,5.34,3.85,171,133,216,161,1432,214,0.474,28.4
88,84,150x100,12,41.4,52.7,5.33,9.5,1450,745,5.25,3.76,193,149,249,185,1633,240,0.469,24.2
89,85,150x100,12.5,42.8,54.6,5,9,1488,763,5.22,3.74,198,153,256,190,1679,246,0.468,23.3
90,86,160x80,4,14.4,18.4,17,37,612,207,5.77,3.35,76.5,51.7,94.7,58.3,493,88.1,0.47,69.3
91,87,160x80,4.9,17.5,22.3,13.3,29.7,731,245,5.73,3.32,91.4,61.3,114,69.9,590,104,0.467,57.1
92,88,160x80,5,17.8,22.7,13,29,744,249,5.72,3.31,93,62.3,116,71.1,600,106,0.467,56
93,89,160x80,5.6,19.9,25.3,11.3,25.6,819,273,5.69,3.29,102,68.2,128,78.5,661,116,0.466,50.4
94,90,160x80,6,21.2,27,10.3,23.7,868,288,5.67,3.27,108,72,136,83.3,701,122,0.465,47.2
95,91,160x80,6.3,22.2,28.2,9.7,22.4,903,299,5.66,3.26,113,74.8,142,86.8,730,127,0.464,45.1
96,92,160x80,7.1,24.7,31.5,8.27,19.5,994,327,5.62,3.22,124,81.7,158,95.9,804,139,0.462,40.4
97,93,160x80,8,27.6,35.2,7,17,1091,356,5.57,3.18,136,89,175,106,883,151,0.459,36.2
98,94,160x80,8.8,30.1,38.3,6.09,15.2,1172,379,5.53,3.15,147,94.9,189,114,949,161,0.457,33.3
99,95,160x80,10,33.7,42.9,5,13,1284,411,5.47,3.1,161,103,209,125,1041,175,0.454,29.7
100,96,160x80,12,39.5,50.3,3.67,10.3,1449,455,5.37,3.01,181,114,240,142,1175,194,0.449,25.3
101,97,160x80,12.5,40.9,52.1,3.4,9.8,1485,465,5.34,2.99,186,116,247,146,1204,198,0.448,24.5
102,98,180x100,5,21,26.7,17,33,1153,460,6.57,4.15,128,92,157,104,1042,154,0.547,47.7
103,99,180x100,5.6,23.4,29.8,14.9,29.1,1272,506,6.54,4.12,141,101,174,115,1152,169,0.546,42.8
104,100,180x100,6,24.9,31.8,13.7,27,1350,536,6.52,4.11,150,107,186,123,1224,179,0.545,40.1
105,101,180x100,6.3,26.1,33.3,12.9,25.6,1407,557,6.5,4.09,156,111,194,128,1277,186,0.544,38.3
106,102,180x100,7.1,29.2,37.2,11.1,22.4,1555,613,6.47,4.06,173,123,215,142,1413,205,0.542,34.2
107,103,180x100,8,32.6,41.6,9.5,19.5,1713,671,6.42,4.02,190,134,239,157,1560,224,0.539,30.7
108,104,180x100,8.8,35.6,45.4,8.36,17.5,1847,720,6.38,3.98,205,144,259,170,1685,240,0.537,28.1
109,105,180x100,10,40,50.9,7,15,2036,787,6.32,3.93,226,157,288,188,1862,263,0.534,25
110,106,180x100,12,47,59.9,5.33,12,2320,886,6.22,3.85,258,177,333,216,2130,296,0.529,21.3
111,107,180x100,12.5,48.7,62.1,5,11.4,2385,908,6.2,3.82,265,182,344,223,2191,303,0.528,20.5
112,108,200x100,5,22.6,28.7,17,37,1495,505,7.21,4.19,149,101,185,114,1204,172,0.587,44.3
113,109,200x100,5.6,25.1,32,14.9,32.7,1652,556,7.18,4.17,165,111,205,126,1331,189,0.586,39.8
114,110,200x100,6,26.8,34.2,13.7,30.3,1754,589,7.16,4.15,175,118,218,134,1414,200,0.585,37.3
115,111,200x100,6.3,28.1,35.8,12.9,28.7,1829,613,7.15,4.14,183,123,228,140,1475,208,0.584,35.6
116,112,200x100,7.1,31.4,40,11.1,25.2,2024,674,7.11,4.1,202,135,254,155,1634,229,0.582,31.8
117,113,200x100,8,35.1,44.8,9.5,22,2234,739,7.06,4.06,223,148,282,172,1804,251,0.579,28.5
118,114,200x100,8.8,38.4,48.9,8.36,19.7,2412,793,7.02,4.03,241,159,306,186,1950,270,0.577,26.1
119,115,200x100,10,43.1,54.9,7,17,2664,869,6.96,3.98,266,174,341,206,2156,295,0.574,23.2
120,116,200x100,12,50.8,64.7,5.33,13.7,3047,979,6.86,3.89,305,196,395,237,2469,333,0.569,19.7
121,117,200x100,12.5,52.7,67.1,5,13,3136,1004,6.84,3.87,314,201,408,245,2541,341,0.568,19
122,118,200x100,14.2,58.9,75,4.04,11.1,3416,1080,6.75,3.8,342,216,450,268,2770,368,0.563,17
123,119,200x100++,16,65.2,83,3.25,9.5,3678,1147,6.66,3.72,368,229,491,290,2982,391,0.559,15.3
124,120,200x120,5,24.1,30.7,21,37,1685,762,7.4,4.98,168,127,205,144,1648,210,0.627,41.5
125,121,200x120,5.6,26.9,34.2,18.4,32.7,1863,841,7.38,4.95,186,140,227,159,1826,231,0.626,37.2
126,122,200x120,6,28.7,36.6,17,30.3,1980,892,7.36,4.94,198,149,242,169,1942,245,0.625,34.8
127,123,200x120,6.3,30.1,38.3,16,28.7,2065,929,7.34,4.92,207,155,253,177,2028,255,0.624,33.3
128,124,200x120,7.1,33.7,42.9,13.9,25.2,2288,1025,7.3,4.89,229,171,281,197,2252,282,0.622,29.7
129,125,200x120,8,37.6,48,12,22,2529,1128,7.26,4.85,253,188,313,218,2495,310,0.619,26.6
130,126,200x120,8.8,41.1,52.4,10.6,19.7,2734,1215,7.22,4.82,273,203,340,237,2703,334,0.617,24.3
131,127,200x120,10,46.3,58.9,9,17,3026,1337,7.17,4.76,303,223,379,263,3001,367,0.614,21.6
132,128,200x120,12,54.6,69.5,7,13.7,3472,1520,7.07,4.68,347,253,440,305,3461,417,0.609,18.3
133,129,200x120,12.5,56.6,72.1,6.6,13,3576,1562,7.04,4.66,358,260,455,314,3569,428,0.608,17.7
134,130,200x120,14.2,63.3,80.7,5.45,11.1,3907,1693,6.96,4.58,391,282,503,346,3915,464,0.603,15.8
135,131,200x120,16,70.2,89.4,4.5,9.5,4221,1813,6.87,4.5,422,302,550,377,4247,497,0.599,14.2
136,132,200x150,5,26.5,33.7,27,37,1970,1265,7.64,6.12,197,169,234,192,2386,267,0.687,37.8
137,133,200x150,5.6,29.5,37.6,23.8,32.7,2181,1398,7.61,6.1,218,186,260,213,2648,295,0.686,33.9
138,134,200x150,6,31.5,40.2,22,30.3,2318,1485,7.6,6.08,232,198,277,227,2820,313,0.685,31.7
139,135,200x150,6.3,33,42.1,20.8,28.7,2420,1549,7.58,6.07,242,207,289,237,2947,326,0.684,30.3
140,136,200x150,7.1,37,47.1,18.1,25.2,2685,1715,7.55,6.03,268,229,322,264,3280,361,0.682,27
141,137,200x150,8,41.4,52.8,15.8,22,2971,1894,7.5,5.99,297,253,359,294,3643,398,0.679,24.1
142,138,200x150,8.8,45.3,57.7,14,19.7,3217,2047,7.47,5.96,322,273,390,319,3956,430,0.677,22.1
143,139,200x150,10,51,64.9,12,17,3568,2264,7.41,5.91,357,302,436,356,4409,475,0.674,19.6
144,140,200x150,12,60.2,76.7,9.5,13.7,4109,2596,7.32,5.82,411,346,508,414,5119,543,0.669,16.6
145,141,200x150,12.5,62.5,79.6,9,13,4236,2673,7.3,5.8,424,356,525,428,5287,559,0.668,16
146,142,200x150,14.2,70,89.2,7.56,11.1,4644,2919,7.22,5.72,464,389,582,473,5834,610,0.663,14.3
147,143,200x150,16,77.7,99,6.38,9.5,5036,3152,7.13,5.64,504,420,638,518,6370,658,0.659,12.9
148,144,220x120,5,25.7,32.7,21,41,2125,829,8.06,5.03,193,138,236,155,1881,232,0.667,38.9
149,145,220x120,5.6,28.6,36.5,18.4,36.3,2352,914,8.03,5.01,214,152,262,172,2084,256,0.666,34.9
150,146,220x120,6,30.6,39,17,33.7,2500,970,8.01,4.99,227,162,280,183,2217,271,0.665,32.7
151,147,220x120,6.3,32,40.8,16,31.9,2610,1010,8,4.98,237,168,292,191,2315,283,0.664,31.2
152,148,220x120,7.1,35.9,45.7,13.9,28,2895,1116,7.96,4.94,263,186,326,213,2572,312,0.662,27.9
153,149,220x120,8,40.2,51.2,12,24.5,3203,1229,7.91,4.9,291,205,362,236,2850,343,0.659,24.9
154,150,220x120,8.8,43.9,55.9,10.6,22,3467,1324,7.87,4.87,315,221,394,256,3089,370,0.657,22.8
155,151,220x120,10,49.4,62.9,9,19,3844,1459,7.82,4.81,349,243,440,285,3431,407,0.654,20.2
156,152,220x120,12,58.3,74.3,7,15.3,4424,1661,7.72,4.73,402,277,512,330,3962,464,0.649,17.1
157,153,220x120,12.5,60.5,77.1,6.6,14.6,4560,1707,7.69,4.71,415,285,530,341,4087,476,0.648,16.5
158,154,220x120,14.2,67.8,86.3,5.45,12.5,4996,1853,7.61,4.63,454,309,586,376,4488,517,0.643,14.8
159,155,220x120,16,75.2,95.8,4.5,10.8,5413,1988,7.52,4.55,492,331,643,410,4873,555,0.639,13.3
160,156,250x100,5,26.5,33.7,17,47,2610,618,8.8,4.28,209,124,263,138,1617,217,0.687,37.8
161,157,250x100,5.6,29.5,37.6,14.9,41.6,2889,681,8.77,4.25,231,136,292,152,1789,239,0.686,33.9
162,158,250x100,6,31.5,40.2,13.7,38.7,3072,721,8.74,4.24,246,144,311,162,1901,253,0.685,31.7
163,159,250x100,6.3,33,42.1,12.9,36.7,3207,751,8.73,4.22,257,150,326,169,1983,264,0.684,30.3
164,160,250x100,7.1,37,47.1,11.1,32.2,3559,827,8.69,4.19,285,165,363,188,2198,291,0.682,27
165,161,250x100,8,41.4,52.8,9.5,28.3,3940,909,8.64,4.15,315,182,404,209,2430,319,0.679,24.1
166,162,250x100,8.8,45.3,57.7,8.36,25.4,4266,977,8.6,4.12,341,195,439,226,2627,343,0.677,22.1
167,163,250x100,10,51,64.9,7,22,4733,1072,8.54,4.06,379,214,491,251,2908,376,0.674,19.6
168,164,250x100,12,60.2,76.7,5.33,17.8,5453,1213,8.43,3.98,436,243,572,290,3336,426,0.669,16.6
169,165,250x100,12.5,62.5,79.6,5,17,5622,1245,8.41,3.96,450,249,592,299,3436,438,0.668,16
170,166,250x100,14.2,70,89.2,4.04,14.6,6165,1344,8.31,3.88,493,269,655,329,3752,473,0.663,14.3
171,167,250x100,16,77.7,99,3.25,12.6,6686,1433,8.22,3.8,535,287,719,358,4050,505,0.659,12.9
172,168,250x150,5,30.4,38.7,27,47,3360,1527,9.31,6.28,269,204,324,228,3278,337,0.787,32.9
173,169,250x150,5.6,33.9,43.2,23.8,41.6,3726,1690,9.29,6.25,298,225,361,254,3640,373,0.786,29.5
174,170,250x150,6,36.2,46.2,22,38.7,3965,1796,9.27,6.24,317,239,385,270,3877,396,0.785,27.6
175,171,250x150,6.3,38,48.4,20.8,36.7,4143,1874,9.25,6.22,331,250,402,283,4054,413,0.784,26.3
176,172,250x150,7.1,42.6,54.2,18.1,32.2,4606,2078,9.22,6.19,368,277,449,315,4515,457,0.782,23.5
177,173,250x150,8,47.7,60.8,15.8,28.3,5111,2298,9.17,6.15,409,306,501,350,5021,506,0.779,21
178,174,250x150,8.8,52.2,66.5,14,25.4,5546,2486,9.13,6.12,444,331,545,381,5457,547,0.777,19.2
179,175,250x150,10,58.8,74.9,12,22,6174,2755,9.08,6.06,494,367,611,426,6090,605,0.774,17
180,176,250x150,12,69.6,88.7,9.5,17.8,7154,3168,8.98,5.98,572,422,715,497,7088,695,0.769,14.4
181,177,250x150,12.5,72.3,92.1,9,17,7387,3265,8.96,5.96,591,435,740,514,7326,717,0.768,13.8
182,178,250x150,14.2,81.1,103,7.56,14.6,8141,3576,8.87,5.88,651,477,823,570,8102,784,0.763,12.3
183,179,250x150,16,90.3,115,6.38,12.6,8879,3873,8.79,5.8,710,516,906,625,8868,849,0.759,11.1
184,180,*250x200,12,79,101,13.7,17.8,8855,6233,9.38,7.87,708,623,858,734,11580,966,0.869,12.7
185,181,*250x200,14.2,92.3,118,11.1,14.6,10120,7100,9.28,7.77,809,710,990,846,13330,1098,0.863,10.8
186,182,260x140,5,30.4,38.7,25,49,3532,1354,9.55,5.91,272,193,331,216,3078,326,0.787,32.9
187,183,260x140,5.6,33.9,43.2,22,43.4,3916,1498,9.52,5.89,301,214,368,240,3417,360,0.786,29.5
188,184,260x140,6,36.2,46.2,20.3,40.3,4168,1591,9.5,5.87,321,227,393,255,3638,383,0.785,27.6
189,185,260x140,6.3,38,48.4,19.2,38.3,4355,1660,9.49,5.86,335,237,411,267,3803,399,0.784,26.3
190,186,260x140,7.1,42.6,54.2,16.7,33.6,4842,1839,9.45,5.82,372,263,459,298,4234,442,0.782,23.5
191,187,260x140,8,47.7,60.8,14.5,29.5,5373,2032,9.4,5.78,413,290,511,331,4704,488,0.779,21
192,188,260x140,8.8,52.2,66.5,12.9,26.5,5831,2197,9.37,5.75,449,314,557,360,5110,527,0.777,19.2
193,189,260x140,10,58.8,74.9,11,23,6490,2432,9.31,5.7,499,347,624,402,5698,584,0.774,17
194,190,260x140,12,69.6,88.7,8.67,18.7,7522,2792,9.21,5.61,579,399,730,469,6621,670,0.769,14.4
195,191,260x140,12.5,72.3,92.1,8.2,17.8,7767,2876,9.18,5.59,597,411,756,485,6841,690,0.768,13.8
196,192,260x140,14.2,81.1,103,6.86,15.3,8560,3144,9.1,5.52,658,449,840,537,7555,754,0.763,12.3
197,193,260x140,16,90.3,115,5.75,13.3,9337,3400,9.01,5.44,718,486,925,588,8257,815,0.759,11.1
198,194,300x100,5,30.4,38.7,17,57,4146,731,10.3,4.34,276,146,354,161,2040,262,0.787,32.9
199,195,300x100,5.6,33.9,43.2,14.9,50.6,4598,806,10.3,4.32,307,161,393,179,2257,289,0.786,29.5
200,196,300x100,6,36.2,46.2,13.7,47,4893,854,10.3,4.3,326,171,419,190,2399,306,0.785,27.6
201,197,300x100,6.3,38,48.4,12.9,44.6,5111,890,10.3,4.29,341,178,439,199,2504,319,0.784,26.3
202,198,300x100,7.1,42.6,54.2,11.1,39.3,5683,981,10.2,4.25,379,196,490,221,2775,352,0.782,23.5
203,199,300x100,8,47.7,60.8,9.5,34.5,6305,1078,10.2,4.21,420,216,546,245,3069,387,0.779,21
204,200,300x100,8.8,52.2,66.5,8.36,31.1,6841,1160,10.1,4.18,456,232,594,266,3319,416,0.777,19.2
205,201,300x100,10,58.8,74.9,7,27,7613,1275,10.1,4.13,508,255,666,296,3676,458,0.774,17
206,202,300x100,12,69.6,88.7,5.33,22,8818,1447,9.97,4.04,588,289,779,343,4223,520,0.769,14.4
207,203,300x100,12.5,72.3,92.1,5,21,9103,1486,9.94,4.02,607,297,806,354,4350,534,0.768,13.8
208,204,300x100,14.2,81.1,103,4.04,18.1,10030,1607,9.85,3.94,669,321,896,390,4755,578,0.763,12.3
209,205,300x100,16,90.3,115,3.25,15.8,10930,1719,9.75,3.87,729,344,986,425,5138,619,0.759,11.1
210,206,300x200,5,38.3,48.7,37,57,6322,3396,11.4,8.35,421,340,501,380,6824,552,0.987,26.1
211,207,300x200,5.6,42.7,54.4,32.7,50.6,7025,3769,11.4,8.32,468,377,558,423,7593,612,0.986,23.4
212,208,300x200,6,45.7,58.2,30.3,47,7486,4013,11.3,8.31,499,401,596,451,8100,651,0.985,21.9
213,209,300x200,6.3,47.9,61,28.7,44.6,7829,4193,11.3,8.29,522,419,624,472,8476,681,0.984,20.9
214,210,300x200,7.1,53.7,68.4,25.2,39.3,8729,4667,11.3,8.26,582,467,698,528,9469,757,0.982,18.6
215,211,300x200,8,60.3,76.8,22,34.5,9717,5184,11.3,8.22,648,518,779,589,10560,840,0.979,16.6
216,212,300x200,8.8,66,84.1,19.7,31.1,10570,5631,11.2,8.18,705,563,851,643,11510,912,0.977,15.2
217,213,300x200,10,74.5,94.9,17,27,11820,6278,11.2,8.13,788,628,956,721,12910,1015,0.974,13.4
218,214,300x200,12,88.5,113,13.7,22,13800,7294,11.1,8.05,920,729,1124,847,15140,1178,0.969,11.3
219,215,300x200,12.5,91.9,117,13,21,14270,7537,11,8.02,952,754,1165,877,15680,1217,0.968,10.9
220,216,300x200,14.2,103,132,11.1,18.1,15830,8328,11,7.95,1055,833,1302,978,17460,1343,0.963,9.67
221,217,300x200,16,115,147,9.5,15.8,17390,9109,10.9,7.87,1159,911,1441,1080,19250,1468,0.959,8.67
222,218,300x250,6,50.4,64.2,38.7,47,8783,6645,11.7,10.2,586,532,684,604,11610,824,1.08,19.9
223,219,300x250,6.3,52.8,67.3,36.7,44.6,9188,6950,11.7,10.2,613,556,716,633,12160,862,1.08,18.9
224,220,300x250,7.1,59.3,75.5,32.2,39.3,10250,7749,11.6,10.1,683,620,802,708,13590,960,1.08,16.9
225,221,300x250,8,66.5,84.8,28.3,34.5,11420,8627,11.6,10.1,761,690,896,791,15190,1067,1.08,15
